year,bill_number,title,primary_sponsors,party,district,status,last_action,chamber,upcoming_hearings,past_hearings,state_bill_link
2025,HB1001,An Act For The Arkansas House Of Representatives Of The Ninety-fifth General Assembly Appropriation For The 2024-2025 Fiscal Year.,House Management,,,Notification that HB1001 is now Act 3,2025-01-27 - Notification that HB1001 is now Act 3,House,2025-01-21 00:00:00 - Re-referred to the CALENDAR,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on JOINT BUDGET COMMITTEE; 2025-01-13 00:00:00 - without objection, speaker corrects an erroneous Committee - Without objection, Speaker corrects an erroneous committee assignment and transfers to CALENDAR; 2025-01-21 00:00:00 - Re-referred to the CALENDAR",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1001.pdf
2025,HB1002,The General Appropriation Act For The 2025-2026 Fiscal Year.,Joint Budget Committee,,,Notification that HB1002 is now Act 1,2025-01-16 - Notification that HB1002 is now Act 1,House,2025-01-14 00:00:00 - returned by the Committee - Returned by the Committee Do Pass,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on JOINT BUDGET COMMITTEE; 2025-01-14 00:00:00 - returned by the Committee - Returned by the Committee Do Pass",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1002.pdf
2025,HB1003,An Act For The Arkansas House Of Representatives - Staff Appropriation For The 2025-2026 Fiscal Year.,House Management,,,Re-referred to the Committee on HOUSE MANAGEMENT,2025-01-21 - Re-referred to the Committee on HOUSE MANAGEMENT,House,2025-01-21 00:00:00 - re-referred to the Committee - Re-referred to the Committee on HOUSE MANAGEMENT,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on JOINT BUDGET COMMITTEE; 2025-01-13 00:00:00 - without objection, speaker corrects an erroneous Committee - Without Objection, Speaker corrects an erroneous committee assignment and transfers to House Management Committee; 2025-01-21 00:00:00 - re-referred to the Committee - Re-referred to the Committee on HOUSE MANAGEMENT",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1003.pdf
2025,HB1004,To Require Medicaid Coverage For Postpartum Mothers For One Year After Giving Birth.,Aaron Pilkington,R,HD-045,"Read the first time, rules suspended, read the second time and referred to the Committee on PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE- HOUSE","2025-01-13 - Read the first time, rules suspended, read the second time and referred to the Committee on PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE- HOUSE",House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE- HOUSE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE- HOUSE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1004.pdf
2025,HB1005,To Amend The Law Regarding Tuition Waivers For Arkansas National Guard Soldiers And Airmen To Include Programs Of Study Leading To A Postsecondary Certificate Or Credential.,David Ray,R,HD-069,Notification that HB1005 is now Act 14,2025-02-03 - Notification that HB1005 is now Act 14,House,"2025-01-29 00:00:00 - returned by the Committee - Returned by the Committee, with the recommendation that it Do Pass","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on EDUCATION COMMITTEE- HOUSE; 2025-01-23 00:00:00 - returned by the Committee - Returned by the Committee Do Pass; 2025-01-27 00:00:00 - read first time, rules suspended, read second time, referred to education Committee - Read first time, rules suspended, read second time, referred to EDUCATION COMMITTEE - SENATE; 2025-01-29 00:00:00 - returned by the Committee - Returned by the Committee, with the recommendation that it Do Pass",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1005.pdf
2025,HB1006,"""to Redesignate The Fourteenth Judicial District As A Division A Judicial District As It Relates To Prosecuting Attorneys; And To Declare An Emergency.""",Stetson Painter,R,HD-003,Notification that HB1006 is now Act 15,2025-02-03 - Notification that HB1006 is now Act 15,House,"2025-01-29 00:00:00 - returned by the Committee - Returned by the Committee, with the recommendation that it Do Pass","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on JUDICIARY COMMITTEE- HOUSE; 2025-01-21 00:00:00 - returned by the Committee - Returned by the Committee with the recommendation that it do pass as amended 1; 2025-01-23 00:00:00 - read first time, rules suspended, read second time, referred to judiciary Committee - Read first time, rules suspended, read second time, referred to JUDICIARY COMMITTEE - SENATE; 2025-01-29 00:00:00 - returned by the Committee - Returned by the Committee, with the recommendation that it Do Pass",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1006.pdf
2025,HB1007,To Regulate Liability For Shooting Sports Events; And To Provide Immunity To Certain Individuals With Respect To Shooting Sports Events.,Chad Puryear,R,HD-025,"Read first time, rules suspended, read second time, referred to JUDICIARY COMMITTEE - SENATE","2025-02-04 - Read first time, rules suspended, read second time, referred to JUDICIARY COMMITTEE - SENATE",House,"2025-02-04 00:00:00 - read first time, rules suspended, read second time, referred to judiciary Committee - Read first time, rules suspended, read second time, referred to JUDICIARY COMMITTEE - SENATE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on JUDICIARY COMMITTEE- HOUSE; 2025-01-30 00:00:00 - returned by the Committee - Returned by the Committee with the recommendation that it do pass as amended 1 & 2; 2025-02-04 00:00:00 - read first time, rules suspended, read second time, referred to judiciary Committee - Read first time, rules suspended, read second time, referred to JUDICIARY COMMITTEE - SENATE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1007.pdf
2025,HB1008,To Require Medicaid Coverage For Postpartum Mothers For One Year After Giving Birth.,Andrew Collins,D,HD-073,REPORTED CORRECTLY ENGROSSED,2025-01-23 - REPORTED CORRECTLY ENGROSSED,House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE- HOUSE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE- HOUSE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1008.pdf
2025,HB1009,To Allow Pregnancy To Be A Qualifying Event For Enrollment In Certain Health Benefit Plans.,Andrew Collins,D,HD-073,REPORTED CORRECTLY ENGROSSED,2025-01-16 - REPORTED CORRECTLY ENGROSSED,House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on INSURANCE & COMMERCE- HOUSE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on INSURANCE & COMMERCE- HOUSE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1009.pdf
2025,HB1010,To Set The Reimbursement Rate In The Arkansas Medicaid Program For Maternal Health Services.,Andrew Collins,D,HD-073,REPORTED CORRECTLY ENGROSSED,2025-01-23 - REPORTED CORRECTLY ENGROSSED,House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE- HOUSE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE- HOUSE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1010.pdf
2025,HB1011,To Create The Restore Roe Act; And To Restore A Woman's Access To Abortion Services.,Andrew Collins,D,HD-073,REPORTED CORRECTLY ENGROSSED,2025-01-16 - REPORTED CORRECTLY ENGROSSED,House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE- HOUSE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE- HOUSE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1011.pdf
2025,HB1012,To Require The Arkansas Medicaid Program To Extend Eligibility To Certain Individuals For Family Planning Services.,Andrew Collins,D,HD-073,REPORTED CORRECTLY ENGROSSED,2025-01-16 - REPORTED CORRECTLY ENGROSSED,House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE- HOUSE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE- HOUSE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1012.pdf
2025,HB1013,To Protect Fertility Treatment Rights In This State.,Ashley Hudson,D,HD-075,REPORTED CORRECTLY ENGROSSED,2025-01-16 - REPORTED CORRECTLY ENGROSSED,House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE- HOUSE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE- HOUSE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1013.pdf
2025,HB1014,To Require Coverage Of In Vitro Fertilization Under The State And Public School Life And Health Insurance Program.,Andrew Collins,D,HD-073,REPORTED CORRECTLY ENGROSSED,2025-01-16 - REPORTED CORRECTLY ENGROSSED,House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on INSURANCE & COMMERCE- HOUSE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on INSURANCE & COMMERCE- HOUSE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1014.pdf
2025,HB1015,To Amend The Individual Income Tax Laws; And To Create An Income Tax Credit For Dependent Children.,Denise Garner,D,HD-020,REPORTED CORRECTLY ENGROSSED,2025-01-16 - REPORTED CORRECTLY ENGROSSED,House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on REVENUE & TAXATION- HOUSE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on REVENUE & TAXATION- HOUSE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1015.pdf
2025,HB1016,To Create A Sales And Use Tax Exemption For Menstrual Discharge Collection Devices; To Create A Sales And Use Tax Exemption For Diapers; And To Create A Sales And Use Tax Exemption For Certain Items Related To Breastfeeding.,Denise Ennett,D,HD-080,REPORTED CORRECTLY ENGROSSED,2025-01-16 - REPORTED CORRECTLY ENGROSSED,House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on REVENUE & TAXATION- HOUSE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on REVENUE & TAXATION- HOUSE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1016.pdf
2025,HB1017,To Amend The Law Regarding Paid Maternity Leave For Public School Employees; And To Require The Division Of Elementary And Secondary Education To Pay For Incurred Costs For Approved Paid Maternity Leave.,Andrew Collins,D,HD-073,REPORTED CORRECTLY ENGROSSED,2025-01-23 - REPORTED CORRECTLY ENGROSSED,House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on EDUCATION COMMITTEE- HOUSE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on EDUCATION COMMITTEE- HOUSE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1017.pdf
2025,HB1018,To Create The Strong Families Act; And To Create An Income Tax Credit For Employers That Provide Paid Family And Medical Leave For Certain Employees.,Ashley Hudson,D,HD-075,REPORTED CORRECTLY ENGROSSED,2025-01-16 - REPORTED CORRECTLY ENGROSSED,House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on REVENUE & TAXATION- HOUSE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on REVENUE & TAXATION- HOUSE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1018.pdf
2025,HB1019,To Create The Affordable Childcare Act Of 2025; To Create An Income Tax Credit For Employers Who Assist Employees With Childcare Costs; And To Replace The Existing Income Tax Credit For Employer-operated Childcare Facilities.,Denise Garner,D,HD-020,REPORTED CORRECTLY ENGROSSED,2025-01-16 - REPORTED CORRECTLY ENGROSSED,House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on REVENUE & TAXATION- HOUSE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on REVENUE & TAXATION- HOUSE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1019.pdf
2025,HB1020,To Repeal The Arkansas Children's Educational Freedom Account Program; To Create A New Education Funding Category For Students Who Receive Special Education And Related Services; And To Create The Community Schools Act Fund.,Andrew Collins,D,HD-073,REPORTED CORRECTLY ENGROSSED,2025-01-16 - REPORTED CORRECTLY ENGROSSED,House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on EDUCATION COMMITTEE- HOUSE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on EDUCATION COMMITTEE- HOUSE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1020.pdf
2025,HB1021,To Create The Early Childhood Education Workforce Quality Incentive Act; And To Create An Income Tax Credit For Certain Early Childhood Education Workers.,Denise Garner,D,HD-020,REPORTED CORRECTLY ENGROSSED,2025-01-16 - REPORTED CORRECTLY ENGROSSED,House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on REVENUE & TAXATION- HOUSE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on REVENUE & TAXATION- HOUSE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1021.pdf
2025,HB1022,To Repeal Performance-based Incentive Awards For Public Schools And Open-enrollment Public Charter Schools.,Andrew Collins,D,HD-073,REPORTED CORRECTLY ENGROSSED,2025-01-16 - REPORTED CORRECTLY ENGROSSED,House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on EDUCATION COMMITTEE- HOUSE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on EDUCATION COMMITTEE- HOUSE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1022.pdf
2025,HB1023,To Amend The State Teacher Education Program; And To Amend The Eligibility Requirements For Loan Forgiveness And The Loan Repayment Amounts Under The State Teacher Education Program.,Andrew Collins,D,HD-073,REPORTED CORRECTLY ENGROSSED,2025-01-16 - REPORTED CORRECTLY ENGROSSED,House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on EDUCATION COMMITTEE- HOUSE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on EDUCATION COMMITTEE- HOUSE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1023.pdf
2025,HB1024,To Amend The Law Concerning Public Employees; And To Repeal The Law Prohibiting Collective Bargaining.,Andrew Collins,D,HD-073,REPORTED CORRECTLY ENGROSSED,2025-01-16 - REPORTED CORRECTLY ENGROSSED,House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on STATE AGENCIES & GOVT'L AFFAIRS- HOUSE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on STATE AGENCIES & GOVT'L AFFAIRS- HOUSE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1024.pdf
2025,HB1025,To Create The Teacher Fair Dismissal Act Of 2025.,Jessie McGruder,D,HD-035,REPORTED CORRECTLY ENGROSSED,2025-01-16 - REPORTED CORRECTLY ENGROSSED,House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on EDUCATION COMMITTEE- HOUSE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on EDUCATION COMMITTEE- HOUSE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1025.pdf
2025,HB1026,To Create The Arkansas Promise Act; And To Create An Income Tax Credit For Tuition Paid For An Eligible Student At A Public Institution Of Higher Education.,Andrew Collins,D,HD-073,REPORTED CORRECTLY ENGROSSED,2025-01-16 - REPORTED CORRECTLY ENGROSSED,House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on REVENUE & TAXATION- HOUSE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on REVENUE & TAXATION- HOUSE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1026.pdf
2025,HB1027,To Create The Brighter Start Act Of 2025; And To Require The Treasurer Of State To Make A One-time Contribution To Each Existing And Future Arkansas Brighter Future Fund Plan Account.,Denise Garner,D,HD-020,REPORTED CORRECTLY ENGROSSED,2025-01-16 - REPORTED CORRECTLY ENGROSSED,House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on EDUCATION COMMITTEE- HOUSE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on EDUCATION COMMITTEE- HOUSE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1027.pdf
2025,HB1028,To Amend Provisions Of The Law Concerning Obscenity And The Process For Challenging Materials Included In A Library; And To Require A Library To Have A Policy Prohibiting Book Banning In Order To Receive State Funding.,Andrew Collins,D,HD-073,REPORTED CORRECTLY ENGROSSED,2025-01-16 - REPORTED CORRECTLY ENGROSSED,House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on STATE AGENCIES & GOVT'L AFFAIRS- HOUSE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on STATE AGENCIES & GOVT'L AFFAIRS- HOUSE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1028.pdf
2025,HB1029,To Set The Reimbursement Rate In The Arkansas Medicaid Program For Mental Health Services And Services Related To Addiction.,Denise Garner,D,HD-020,REPORTED CORRECTLY ENGROSSED,2025-01-16 - REPORTED CORRECTLY ENGROSSED,House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE- HOUSE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE- HOUSE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1029.pdf
2025,HB1030,To Require A School Resource Officer Or Law Enforcement Personnel To Obtain Certification In Youth Mental Health First Aid; And To Require A School Counselor To Receive Youth Mental Health First Aid Training.,Tara Shephard,D,HD-079,REPORTED CORRECTLY ENGROSSED,2025-01-16 - REPORTED CORRECTLY ENGROSSED,House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on EDUCATION COMMITTEE- HOUSE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on EDUCATION COMMITTEE- HOUSE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1030.pdf
2025,HB1031,To Create The Arkansas Healthy Lifestyle Education Act Of 2025; And To Ensure The Health Curriculum In Arkansas Public Schools Addresses Certain Health Issues Facing Students.,Denise Garner,D,HD-020,REPORTED CORRECTLY ENGROSSED,2025-01-16 - REPORTED CORRECTLY ENGROSSED,House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on EDUCATION COMMITTEE- HOUSE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on EDUCATION COMMITTEE- HOUSE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1031.pdf
2025,HB1032,To Ban Conversion Therapy.,Andrew Collins,D,HD-073,REPORTED CORRECTLY ENGROSSED,2025-01-16 - REPORTED CORRECTLY ENGROSSED,House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE- HOUSE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE- HOUSE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1032.pdf
2025,HB1033,"To Create The ""arkansas Red Flag Law""; And To Create An Extreme Risk Protection Order And Warrant.",Tippi McCullough,D,HD-074,REPORTED CORRECTLY ENGROSSED,2025-01-16 - REPORTED CORRECTLY ENGROSSED,House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on JUDICIARY COMMITTEE- HOUSE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on JUDICIARY COMMITTEE- HOUSE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1033.pdf
2025,HB1034,"An Act For The Department Of Human Services - Division Of Aging, Adult, And Behavioral Health Services Fiscal Year 2025-2026 Capital Improvement Appropriation.",Andrew Collins,D,HD-073,REPORTED CORRECTLY ENGROSSED,2025-01-15 - REPORTED CORRECTLY ENGROSSED,House,"2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on JOINT BUDGET COMMITTEE","2025-01-13 00:00:00 - read the first time, rules suspended, read the second time and referred to the Committee - Read the first time, rules suspended, read the second time and referred to the Committee on JOINT BUDGET COMMITTEE",https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2025R%2FPublic%2FHB1034.pdf
